date_time,speed,lane,auto
2020-10-0611:29:27,0,0,0
2020-10-0611:29:28,0,0,0
2020-10-0611:29:29,0,0,0
2020-10-0611:29:30,0,0,0
2020-10-0611:29:31,0,0,0
2020-10-0611:29:32,0,0,0
2020-10-0611:29:33,0,0,0
2020-10-0611:29:34,0,0,0
2020-10-0611:29:35,0,0,0
2020-10-0611:29:36,0,0,0
2020-10-0611:29:37,0,0,0
2020-10-0611:29:38,0,0,0
2020-10-0611:29:39,0,0,0
2020-10-0611:29:40,0,0,0
2020-10-0611:29:41,0,0,0
2020-10-0611:29:42,0,0,0
2020-10-0611:29:43,0,0,0
2020-10-0611:29:44,0,0,0
2020-10-0611:29:45,0,0,0
2020-10-0611:29:46,0,0,0
