date,time,provider,device_name,latitude,longtitude,speed,ldws,lkas
2020-10-23,15:12:21,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:22,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:23,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:24,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:25,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:26,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:27,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:28,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:29,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:30,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:12:31,gps,device0,37.38486969,126.85584779999999,71,0,1
2020-10-23,15:12:32,gps,device0,37.38486969,126.85584779999999,71,0,1
2020-10-23,15:12:33,gps,device0,37.38486969,126.85584779999999,74,0,1
2020-10-23,15:12:34,gps,device0,37.38486969,126.85584779999999,76,0,1
2020-10-23,15:12:35,gps,device0,37.38486969,126.85584779999999,78,0,1
2020-10-23,15:12:36,gps,device0,37.38486969,126.85584779999999,81,0,1
2020-10-23,15:12:37,gps,device0,37.38486969,126.85584779999999,84,0,1
2020-10-23,15:12:38,gps,device0,37.38486969,126.85584779999999,87,0,1
2020-10-23,15:12:39,gps,device0,37.38486969,126.85584779999999,89,0,1
2020-10-23,15:12:40,gps,device0,37.38486969,126.85584779999999,92,0,1
2020-10-23,15:12:41,gps,device0,37.38486969,126.85584779999999,95,0,1
2020-10-23,15:12:42,gps,device0,37.38486969,126.85584779999999,97,0,1
2020-10-23,15:12:43,gps,device0,37.38486969,126.85584779999999,98,0,1
2020-10-23,15:12:44,gps,device0,37.38486969,126.85584779999999,98,0,1
2020-10-23,15:12:45,gps,device0,37.38486969,126.85584779999999,96,0,1
2020-10-23,15:12:46,gps,device0,37.38486969,126.85584779999999,94,0,1
2020-10-23,15:12:47,gps,device0,37.38486969,126.85584779999999,91,0,1
2020-10-23,15:12:48,gps,device0,37.38486969,126.85584779999999,88,0,1
2020-10-23,15:12:49,gps,device0,37.38486969,126.85584779999999,86,0,1
2020-10-23,15:12:50,gps,device0,37.38486969,126.85584779999999,86,0,1
2020-10-23,15:12:51,gps,device0,37.38478641,126.8558926,87,0,1
2020-10-23,15:12:52,gps,device0,37.38478641,126.8558926,87,0,1
2020-10-23,15:12:53,gps,device0,37.38478641,126.8558926,58,0,1
2020-10-23,15:12:54,gps,device0,37.38478641,126.8558926,85,0,1
2020-10-23,15:12:55,gps,device0,37.38478641,126.8558926,83,0,1
2020-10-23,15:12:56,gps,device0,37.38469675,126.8559264,81,0,1
2020-10-23,15:12:57,gps,device0,37.38469675,126.8559264,80,0,1
2020-10-23,15:12:58,gps,device0,37.38469675,126.8559264,78,0,1
2020-10-23,15:12:59,gps,device0,37.38469675,126.8559264,76,0,1
2020-10-23,15:13:00,gps,device0,37.38469675,126.8559264,73,0,1
2020-10-23,15:13:01,gps,device0,37.38469675,126.8559264,71,0,1
2020-10-23,15:13:02,gps,device0,37.38459411,126.85593429999999,69,0,1
