date,time,provider,device_name,latitude,longtitude
2020-10-23,03:09:09,gps,device0,37.38414122594229,126.85411942135332
2020-10-23,03:09:10,gps,device0,37.384255815520405,126.85457023449041
2020-10-23,03:09:11,gps,device0,37.38431887619964,126.85473430614701
2020-10-23,03:09:12,gps,device0,37.38431887619964,126.85473430614701
2020-10-23,03:09:13,gps,device0,37.38431887619964,126.85473430614701
2020-10-23,03:09:14,gps,device0,37.38431887619964,126.85473430614701
2020-10-23,03:09:15,gps,device0,37.38431887619964,126.85473430614701
2020-10-23,03:09:16,gps,device0,37.38438968169915,126.85482292517679
2020-10-23,03:09:17,gps,device0,37.38438968169915,126.85482292517679
2020-10-23,03:09:18,gps,device0,37.38438968169915,126.85482292517679
2020-10-23,03:09:19,gps,device0,37.38438968169915,126.85482292517679
2020-10-23,03:09:20,gps,device0,37.38438968169915,126.85482292517679
2020-10-23,03:09:21,gps,device0,37.38438968169915,126.85482292517679
2020-10-23,03:09:22,gps,device0,37.38438968169915,126.85482292517679
2020-10-23,03:09:23,gps,device0,37.38438968169915,126.85482292517679
2020-10-23,03:09:24,gps,device0,37.38438968169915,126.85482292517679
2020-10-23,03:09:25,gps,device0,37.384449761138775,126.85491217584764
2020-10-23,03:09:26,gps,device0,37.384449761138775,126.85491217584764
2020-10-23,03:09:27,gps,device0,37.384449761138775,126.85491217584764
2020-10-23,03:09:28,gps,device0,37.38454945577389,126.85507881071699
2020-10-23,03:09:29,gps,device0,37.38454945577389,126.85507881071699
2020-10-23,03:09:30,gps,device0,37.38464203922496,126.85527287174385
2020-10-23,03:09:31,gps,device0,37.38464203922496,126.85527287174385
2020-10-23,03:09:32,gps,device0,37.38472329873869,126.85545260293709
2020-10-23,03:09:33,gps,device0,37.38472329873869,126.85545260293709
2020-10-23,03:09:34,gps,device0,37.384787271381626,126.85561977010042
2020-10-23,03:09:35,gps,device0,37.384787271381626,126.85561977010042
2020-10-23,03:09:36,gps,device0,37.3848312444916,126.85573370376926
2020-10-23,03:09:37,gps,device0,37.3848312444916,126.85573370376926
2020-10-23,03:09:38,gps,device0,37.3848312444916,126.85573370376926
2020-10-23,03:09:39,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:40,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:41,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:42,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:43,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:44,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:45,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:46,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:47,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:48,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:49,gps,device0,37.3848696870741,126.85584777448484
2020-10-23,03:09:50,gps,device0,37.3848696870741,126.85584777448484
