,rtime,lkas,ldws,distance,speed,latitude,longtitude
72,2020-11-07 13:42:07,1,1,11.62,33,37.28388799,127.10355430000001
73,2020-11-07 13:42:08,1,1,12.23,35,37.28380217,127.10356000000002
74,2020-11-07 13:42:09,1,1,11.96,37,37.28371416,127.10356979999999
75,2020-11-07 13:42:10,1,1,11.37,38,37.28361648,127.1035787
76,2020-11-07 13:42:11,1,1,10.04,37,37.28352123,127.1035834
77,2020-11-07 13:42:12,1,1,10.32,36,37.28343194,127.10358319999999
78,2020-11-07 13:42:13,1,1,10.11,35,37.28334547,127.1035828
79,2020-11-07 13:42:14,1,1,9.85,34,37.28325839,127.1035883
80,2020-11-07 13:42:15,1,1,9.72,34,37.28317716,127.10358719999999
81,2020-11-07 13:42:16,1,1,9.91,34,37.28309456,127.1035858
82,2020-11-07 13:42:17,1,1,9.53,34,37.28300951,127.1035843
83,2020-11-07 13:42:18,1,1,9.17,34,37.28292701,127.1035814
84,2020-11-07 13:42:19,1,1,8.57,32,37.28284642,127.103583
85,2020-11-07 13:42:20,1,1,8.37,30,37.2827785,127.10358529999999
86,2020-11-07 13:42:21,1,1,7.84,28,37.28271012,127.10358259999998
87,2020-11-07 13:42:22,1,1,7.32,25,37.28265351,127.10358020000001
88,2020-11-07 13:42:23,1,1,7.16,23,37.28261044,127.10358640000001
89,2020-11-07 13:42:24,1,1,7.57,21,37.28255953,127.10358909999998
90,2020-11-07 13:42:25,1,1,9.35,22,37.28251229999999,127.10359299999999
91,2020-11-07 13:42:26,1,1,10.97,24,37.28245527,127.1035886
92,2020-11-07 13:42:27,1,1,11.45,27,37.28238504,127.1035852
93,2020-11-07 13:42:28,1,1,12.14,29,37.28231035,127.1035762
94,2020-11-07 13:42:29,1,1,12.7,31,37.28223594,127.1035658
95,2020-11-07 13:42:30,1,1,13.1,31,37.28215834,127.1035588
96,2020-11-07 13:42:32,1,1,14.8,34,37.28200172,127.1035491
97,2020-11-07 13:42:33,1,1,14.92,36,37.28191706,127.10354609999999
98,2020-11-07 13:42:34,1,1,15.58,37,37.28182735,127.1035425
99,2020-11-07 13:42:35,1,1,15.72,39,37.28173674,127.10354050000001
100,2020-11-07 13:42:36,1,1,16.0,42,37.28163932,127.1035377
101,2020-11-07 13:42:37,1,1,16.9,44,37.28153724,127.1035376
102,2020-11-07 13:42:38,1,1,16.44,46,37.28142585,127.1035376
103,2020-11-07 13:42:39,1,1,16.9,47,37.28131206,127.1035378
104,2020-11-07 13:42:40,1,1,18.07,48,37.28119810000001,127.1035362
105,2020-11-07 13:42:41,1,1,18.43,49,37.28107439,127.10353390000002
106,2020-11-07 13:42:42,1,1,18.07,52,37.28094406,127.1035291
107,2020-11-07 13:42:43,1,1,19.18,54,37.28081532,127.10350749999999
108,2020-11-07 13:42:44,1,1,18.99,55,37.28067955,127.1035064
109,2020-11-07 13:42:45,1,1,18.43,56,37.28054301,127.1035115
110,2020-11-07 13:42:46,1,1,18.43,57,37.28040352,127.10351499999999
111,2020-11-07 13:42:47,1,1,18.61,57,37.28026138,127.1035185
112,2020-11-07 13:42:48,1,1,18.25,58,37.28011904,127.10352490000001
113,2020-11-07 13:42:49,1,1,20.0,59,37.27997406,127.1035328
114,2020-11-07 13:42:50,1,1,21.82,59,37.27983006,127.10353980000001
115,2020-11-07 13:42:51,1,1,20.42,59,37.27968320000001,127.10354550000001
116,2020-11-07 13:42:52,1,1,21.82,60,37.27953906,127.10355039999999
117,2020-11-07 13:42:53,1,1,23.95,60,37.27939275,127.1035565
118,2020-11-07 13:42:54,1,1,27.21,60,37.27923957,127.10356189999999
119,2020-11-07 13:42:56,1,1,31.85,60,37.27893264,127.1035688
120,2020-11-07 13:42:57,1,1,32.34,60,37.27877413,127.103571
121,2020-11-07 13:42:58,1,1,35.63,60,37.27861696,127.10357350000001
122,2020-11-07 13:42:59,1,1,35.63,60,37.27847115,127.1035713
123,2020-11-07 13:43:00,1,1,38.19,60,37.27833137,127.10355290000001
124,2020-11-07 13:43:01,1,1,33.91,60,37.27819031,127.1035467
125,2020-11-07 13:43:02,1,1,35.04,60,37.27805058,127.1035412
126,2020-11-07 13:43:03,1,1,35.63,60,37.277906099999996,127.10353970000001
127,2020-11-07 13:43:04,0,1,35.04,60,37.27776202,127.1035358
128,2020-11-07 13:43:05,0,1,36.87,60,37.27762018,127.1035314
129,2020-11-07 13:43:06,0,1,76.49,60,37.27747407,127.10353119999999
130,2020-11-07 13:43:07,0,1,67.44,60,37.27733027,127.1035348
131,2020-11-07 13:43:08,0,1,63.64,60,37.27718885,127.1035368
