date,time,distance
2020-11-07,13:41:04,10.6
2020-11-07,13:41:04,10.46
2020-11-07,13:41:04,10.39
2020-11-07,13:41:04,10.39
2020-11-07,13:41:04,10.25
2020-11-07,13:41:04,9.78
2020-11-07,13:41:04,9.91
2020-11-07,13:41:04,9.66
2020-11-07,13:41:05,9.29
2020-11-07,13:41:05,9.06
2020-11-07,13:41:05,8.73
2020-11-07,13:41:05,8.37
2020-11-07,13:41:05,8.17
2020-11-07,13:41:05,7.98
2020-11-07,13:41:05,7.93
2020-11-07,13:41:05,7.88
2020-11-07,13:41:05,7.49
2020-11-07,13:41:05,7.28
2020-11-07,13:41:06,7
2020-11-07,13:41:06,7
2020-11-07,13:41:06,6.73
2020-11-07,13:41:06,7
2020-11-07,13:41:06,6.77
2020-11-07,13:41:06,6.38
2020-11-07,13:41:06,6.52
2020-11-07,13:41:06,6.15
2020-11-07,13:41:06,6.42
2020-11-07,13:41:06,6.12
2020-11-07,13:41:07,6.09
2020-11-07,13:41:07,6.05
2020-11-07,13:41:07,6.02
2020-11-07,13:41:07,5.75
2020-11-07,13:41:07,5.63
2020-11-07,13:41:07,5.61
2020-11-07,13:41:07,5.61
2020-11-07,13:41:07,5.47
2020-11-07,13:41:07,5.49
2020-11-07,13:41:07,5.52
2020-11-07,13:41:08,5.49
2020-11-07,13:41:08,5.58
2020-11-07,13:41:08,5.49
2020-11-07,13:41:08,5.44
2020-11-07,13:41:08,5.3
2020-11-07,13:41:08,5.38
2020-11-07,13:41:08,5.33
2020-11-07,13:41:08,5.15
2020-11-07,13:41:08,5.02
2020-11-07,13:41:08,5.15
2020-11-07,13:41:09,5.12
2020-11-07,13:41:09,5.17
2020-11-07,13:41:09,5.17
2020-11-07,13:41:09,5.05
2020-11-07,13:41:09,5
2020-11-07,13:41:09,4.88
2020-11-07,13:41:09,4.88
2020-11-07,13:41:09,4.86
2020-11-07,13:41:09,4.76
2020-11-07,13:41:09,4.67
2020-11-07,13:41:09,4.65
2020-11-07,13:41:10,4.6
2020-11-07,13:41:10,4.6
2020-11-07,13:41:10,4.63
2020-11-07,13:41:10,4.54
2020-11-07,13:41:10,4.5
2020-11-07,13:41:10,4.39
2020-11-07,13:41:10,4.45
2020-11-07,13:41:10,4.6
2020-11-07,13:41:10,4.69
2020-11-07,13:41:11,4.65
2020-11-07,13:41:11,4.63
2020-11-07,13:41:11,4.88
